Region,Farm,Codfrm,Date,Latitude,Longitude,Elevation,Collector,Order,Family,Tribe,Genus,Species,Codsp,Common name,Abundance,Report
Los Santos,Luis Gerardo Mora,LUIMOR,2021-04-01T00:00:00Z,9.645252,-84.02538,1399,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3,6
Los Santos,Luis Gerardo Mora,LUIMOR,2021-04-01T00:00:00Z,9.645252,-84.02538,1399,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",2,6
Los Santos,Luis Gerardo Mora,LUIMOR,2021-04-01T00:00:00Z,9.645252,-84.02538,1399,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1,6
Los Santos,Luis Gerardo Mora,LUIMOR,2021-04-01T00:00:00Z,9.645252,-84.02538,1399,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",8,6
Los Santos,Luis Roberto Ureña Haug,LUIURE,2021-03-30T00:00:00Z,9.6943517,-84.0506783,1742,B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1,6
Los Santos,Luis Roberto Ureña Haug,LUIURE,2021-03-30T00:00:00Z,9.6943517,-84.0506783,1742,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6,6
Los Santos,Luis Roberto Ureña Haug,LUIURE,2021-03-30T00:00:00Z,9.6943517,-84.0506783,1742,A. Zuñiga,Hymenoptera,Apidae,Xylocopini,Xylocopa,Unknown,XYLSPP,"Chiquizá, carpintera",2,6
Los Santos,Marco Vinicio Retana,MARRET,2021-04-02T00:00:00Z,9.757665,-84.062096,1471,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",6,5
Los Santos,Mauricio Monge Solís,MAUMON,2021-03-30T00:00:00Z,9.7580739,-84.0851302,1361,B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1,5
Los Santos,Oscar Navarro,OSCNAV,2021-04-23T00:00:00Z,9.631315,-84.021575,1480,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4,6
Los Santos,Oscar Navarro,OSCNAV,2021-04-23T00:00:00Z,9.631315,-84.021575,1480,M.Jimenez,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1,6
