farm_code,region,date,elevation_m,order,family,tribe,genus,species,codsp,common_name,abundance
51,Pérez Zeledón,2021-03-23T00:00:00Z,873,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
51,Pérez Zeledón,2021-03-23T00:00:00Z,873,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",6
51,Pérez Zeledón,2021-03-23T00:00:00Z,873,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",3
51,Pérez Zeledón,2021-03-23T00:00:00Z,873,Hymenoptera,Apidae,Meliponini,Trigona,nigerrima,TRINIG,"Atarrá, enredapelos",2
51,Pérez Zeledón,2021-03-23T00:00:00Z,873,Hymenoptera,Unknown,Unknown,Unknown,unknown,HYMSPP,Unknown,1
52,Pérez Zeledón,2021-03-23T00:00:00Z,790,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",10
52,Pérez Zeledón,2021-03-23T00:00:00Z,790,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1
52,Pérez Zeledón,2021-03-23T00:00:00Z,790,Hymenoptera,Apidae,Meliponini,Trigona,silvestriana,TRISIL,"Atarrá, arragre",1
53,Pérez Zeledón,2021-03-23T00:00:00Z,691,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",11
53,Pérez Zeledón,2021-03-23T00:00:00Z,691,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
53,Pérez Zeledón,2021-03-23T00:00:00Z,691,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",2
53,Pérez Zeledón,2021-03-23T00:00:00Z,691,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
53,Pérez Zeledón,2021-03-23T00:00:00Z,691,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
53,Pérez Zeledón,2021-03-23T00:00:00Z,691,Hymenoptera,Apidae,Meliponini,Trigona,nigerrima,TRINIG,"Atarrá, enredapelos",3
53,Pérez Zeledón,2021-03-23T00:00:00Z,691,Hymenoptera,Apidae,Meliponini,Trigonisca,pipioli,TRIPIP,Chupa ojos,1
39,Pérez Zeledón,2021-03-31T00:00:00Z,1228,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",10
39,Pérez Zeledón,2021-03-31T00:00:00Z,1228,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,1
40,Pérez Zeledón,2021-03-29T00:00:00Z,775,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",13
40,Pérez Zeledón,2021-03-29T00:00:00Z,775,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
40,Pérez Zeledón,2021-03-29T00:00:00Z,775,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
40,Pérez Zeledón,2021-03-29T00:00:00Z,775,Hymenoptera,Apidae,Meliponini,Trigonisca,pipioli,TRIPIP,Chupa ojos,2
40,Pérez Zeledón,2021-03-29T00:00:00Z,775,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,2
41,Pérez Zeledón,2021-03-29T00:00:00Z,661,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
41,Pérez Zeledón,2021-03-29T00:00:00Z,661,Hymenoptera,Apidae,Meliponini,Cephalotrigona,zexmeniae,CEPZEX,"Tamagá, tamagá amarillo",1
41,Pérez Zeledón,2021-03-29T00:00:00Z,661,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
